symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_5m_atr_momentum,gate_vwap_extension,gate_consolidation_coil,gate_volume_ignition,naive_baseline_fired,data_source_flags
PARADEEP,2025-12-16 10:15:00 IST,BEAR,2025-12-16 10:20:00 IST,160.53,147.73,186.13,186.13,192.53,198.93,2025-12-16 15:20:00 IST,147.73,SL_HIT,-1.0,17,75.0,True,True,True,True,True,NONE
POCL,2025-12-23 10:15:00 IST,BULL,2025-12-23 10:20:00 IST,555.12,498.99,667.38,667.38,695.44,723.51,2025-12-23 15:20:00 IST,498.99,SL_HIT,-1.0,20,75.0,True,True,True,True,True,NONE
POCL,2026-04-16 10:15:00 IST,SIDEWAYS,2026-04-16 10:20:00 IST,499.96,450.78,598.31,598.32,622.91,647.5,2026-04-16 15:20:00 IST,598.32,T1_HIT,2.0,20,75.0,True,True,True,True,True,NONE
POCL,2026-05-07 10:15:00 IST,BULL,2026-05-07 10:20:00 IST,574.52,520.07,683.42,683.42,710.64,737.87,2026-05-07 15:20:00 IST,520.07,SL_HIT,-1.0,14,75.0,True,True,True,True,True,NONE
POCL,2026-05-14 10:15:00 IST,BULL,2026-05-14 10:20:00 IST,617.8,517.4,818.61,818.6,868.8,919.0,2026-05-14 15:20:00 IST,517.4,SL_HIT,-1.0,9,75.0,True,True,True,True,True,NONE
PANAMAPET,2025-12-23 10:15:00 IST,BULL,2025-12-23 10:20:00 IST,291.43,264.27,345.74,345.75,359.33,372.91,2025-12-23 15:20:00 IST,288.2,HORIZON_REACHED,-0.119,20,75.0,True,True,True,True,True,NONE
PANAMAPET,2026-06-19 10:15:00 IST,BULL,2026-06-19 10:20:00 IST,480.25,363.89,712.96,712.97,771.15,829.33,2026-06-19 15:20:00 IST,415.44,HORIZON_REACHED,-0.557,20,75.0,True,True,True,True,True,NONE
AARTIDRUGS,2026-02-03 10:15:00 IST,BEAR,2026-02-03 10:20:00 IST,388.51,359.07,447.41,447.39,462.11,476.83,2026-02-03 15:20:00 IST,359.07,SL_HIT,-1.0,1,75.0,True,True,True,True,True,NONE
AARTIDRUGS,2026-07-14 10:15:00 IST,SIDEWAYS,2026-07-14 10:20:00 IST,405.7,377.13,462.84,462.84,477.12,491.41,2026-07-14 15:20:00 IST,439.36,HORIZON_REACHED,1.178,20,75.0,True,True,True,True,True,NONE
OLAELEC,2026-01-05 10:15:00 IST,BEAR,2026-01-05 10:20:00 IST,43.93,34.62,62.56,62.55,67.21,71.86,2026-01-05 15:20:00 IST,34.62,SL_HIT,-1.0,11,75.0,True,True,True,True,True,NONE
KEI,2026-07-31 10:15:00 IST,BULL,2026-07-31 10:20:00 IST,4999.0,4732.8,5531.41,5531.4,5664.5,5797.6,2026-07-31 15:20:00 IST,5531.4,T1_HIT,2.0,3,75.0,True,True,True,True,True,NONE
SMARTWORKS,2025-09-05 10:15:00 IST,BULL,2025-09-05 10:20:00 IST,857.89,832.67,908.32,908.33,920.94,933.55,2025-09-05 15:20:00 IST,908.33,T1_HIT,2.0,13,75.0,True,True,True,True,True,NONE
TRIVENI,2025-09-12 10:15:00 IST,BULL,2025-09-12 10:20:00 IST,2440.21,2352.17,2616.29,2616.29,2660.31,2704.33,2025-09-12 15:20:00 IST,2352.17,SL_HIT,-1.0,8,75.0,True,True,True,True,True,NONE
SENCO,2026-03-27 10:15:00 IST,BULL,2026-03-27 10:20:00 IST,1085.2,1059.71,1136.19,1136.18,1148.93,1161.67,2026-03-27 15:20:00 IST,1059.71,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
TATAMOTORS,2026-02-27 10:15:00 IST,BULL,2026-02-27 10:20:00 IST,499.66,464.39,570.2,570.2,587.84,605.47,2026-02-27 15:20:00 IST,464.39,SL_HIT,-1.0,2,75.0,True,True,True,True,True,NONE
TATAMOTORS,2026-06-12 10:15:00 IST,SIDEWAYS,2026-06-12 10:20:00 IST,390.3,351.82,467.25,467.26,486.5,505.74,2026-06-12 15:20:00 IST,422.51,HORIZON_REACHED,0.837,20,75.0,True,True,True,True,True,NONE
TATAMOTORS,2026-07-31 10:15:00 IST,BULL,2026-07-31 10:20:00 IST,436.8,396.89,516.62,516.62,536.58,556.53,2026-07-31 15:20:00 IST,396.89,SL_HIT,-1.0,12,75.0,True,True,True,True,True,NONE
SHAKTIPUMP,2026-05-07 10:15:00 IST,BEAR,2026-05-07 10:20:00 IST,594.25,537.94,706.87,706.87,735.02,763.18,2026-05-07 15:20:00 IST,537.94,SL_HIT,-1.0,3,75.0,True,True,True,True,True,NONE
CONSUMBEES.NS,2026-07-06 10:15:00 IST,SIDEWAYS,2026-07-06 10:20:00 IST,131.94,126.92,141.98,141.98,144.49,147.0,2026-07-06 15:20:00 IST,135.2,HORIZON_REACHED,0.65,20,75.0,True,True,True,True,True,NONE
VINCOFE,2025-10-28 10:15:00 IST,BULL,2025-10-28 10:20:00 IST,155.17,139.74,186.03,186.03,193.74,201.46,2025-10-28 15:20:00 IST,163.39,HORIZON_REACHED,0.533,20,75.0,True,True,True,True,True,NONE
VINCOFE,2026-03-23 10:15:00 IST,BEAR,2026-03-23 10:20:00 IST,133.19,119.64,160.29,160.29,167.06,173.84,2026-03-23 15:20:00 IST,129.36,HORIZON_REACHED,-0.283,20,75.0,True,True,True,True,True,NONE
KRN,2025-11-19 10:15:00 IST,BULL,2025-11-19 10:20:00 IST,866.35,782.48,1034.1,1034.09,1076.03,1117.96,2025-11-19 15:20:00 IST,782.48,SL_HIT,-1.0,11,75.0,True,True,True,True,True,NONE
KRN,2026-02-20 10:15:00 IST,BULL,2026-02-20 10:20:00 IST,879.1,701.94,1233.42,1233.42,1322.0,1410.58,2026-02-20 15:20:00 IST,847.92,HORIZON_REACHED,-0.176,20,75.0,True,True,True,True,True,NONE
TARC,2026-01-07 10:15:00 IST,BULL,2026-01-07 10:20:00 IST,182.57,162.31,223.08,223.09,233.22,243.35,2026-01-07 15:20:00 IST,162.31,SL_HIT,-1.0,9,75.0,True,True,True,True,True,NONE
TARC,2026-04-08 10:15:00 IST,BEAR,2026-04-08 10:20:00 IST,126.36,108.39,162.29,162.3,171.28,180.27,2026-04-08 15:20:00 IST,136.69,HORIZON_REACHED,0.575,20,75.0,True,True,True,True,True,NONE
TARC,2026-04-16 10:15:00 IST,BEAR,2026-04-16 10:20:00 IST,135.7,118.33,170.43,170.44,179.12,187.81,2026-04-16 15:20:00 IST,130.35,HORIZON_REACHED,-0.308,20,75.0,True,True,True,True,True,NONE
JAMNAAUTO,2026-01-30 10:15:00 IST,BULL,2026-01-30 10:20:00 IST,124.36,113.17,146.74,146.74,152.33,157.93,2026-01-30 15:20:00 IST,146.74,T1_HIT,2.0,10,75.0,True,True,True,True,True,NONE
