scanner,ctype,combo,be,n,nc,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v512_wr,v512_er,v58_wr,v58_er
EOD_BREAKOUT,SINGLE,G14_ASYMMETRIC,0.0,3759,3759,36.5,-0.1437,0.781,689.97,0.0,751,0.1801,1.317,-8.42,-0.2937,-0.186,-0.1014,-0.2316,-0.3195,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G14_ASYMMETRIC,0.5,3759,3759,36.5,-0.0149,0.972,535.25,0.0,751,0.3159,1.732,-8.42,-0.1649,-0.0553,0.0255,-0.0994,-0.1839,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G14_ASYMMETRIC,0.8,3759,3759,36.5,-0.0324,0.941,565.31,0.0,751,0.2875,1.625,-8.42,-0.1824,-0.0731,0.0084,-0.1173,-0.2023,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G14_ASYMMETRIC,1.0,3759,3759,36.5,-0.0442,0.921,571.6,0.0,751,0.2675,1.557,-8.42,-0.1942,-0.0851,-0.0033,-0.1295,-0.2148,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G14_ASYMMETRIC,1.2,3759,3759,36.5,-0.0549,0.903,581.82,0.0,751,0.2647,1.548,-8.42,-0.2049,-0.096,-0.0138,-0.1405,-0.226,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G14_ASYMMETRIC,1.5,3759,3759,36.5,-0.0718,0.877,595.36,0.0,751,0.2534,1.513,-8.42,-0.2218,-0.1132,-0.0305,-0.1579,-0.2439,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G16_FAST_TIGHT,0.0,2020,2020,19.16,-0.528,0.458,1096.71,0.0,407,-0.2337,0.733,-25.76,-0.678,-0.5888,-0.4671,-0.6252,-0.7225,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G16_FAST_TIGHT,0.5,2020,2020,19.16,-0.3312,0.574,833.68,0.0,407,0.0137,1.022,-25.76,-0.4812,-0.3905,-0.2719,-0.4229,-0.5146,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G16_FAST_TIGHT,0.8,2020,2020,19.16,-0.3569,0.556,873.77,0.0,407,-0.0436,0.936,-25.76,-0.5069,-0.4165,-0.2973,-0.4493,-0.5417,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G16_FAST_TIGHT,1.0,2020,2020,19.16,-0.3742,0.544,908.75,0.0,407,-0.0827,0.886,-25.76,-0.5242,-0.434,-0.3145,-0.4671,-0.56,44.92,0.15,41.01,-0.074
