scanner,combo,ctype,be,n_candidates,n_confirmed,n_executed,funnel_pct,wr,er,pf,dwr,der
EOD_BREAKOUT,G2_G5_TGT_FAST,PAIR,0.0,10523,3526,3526,33.5,19.03,-0.5266,0.461,-25.89,-0.6766
EOD_BREAKOUT,G2_G5_TGT_FAST,PAIR,0.5,10523,3526,3526,33.5,19.03,-0.3294,0.577,-25.89,-0.4794
EOD_BREAKOUT,G2_G5_TGT_FAST,PAIR,0.8,10523,3526,3526,33.5,19.03,-0.355,0.559,-25.89,-0.505
EOD_BREAKOUT,G2_G5_TGT_FAST,PAIR,1.0,10523,3526,3526,33.5,19.03,-0.3724,0.547,-25.89,-0.5224
EOD_BREAKOUT,G2_G5_TGT_FAST,PAIR,1.2,10523,3526,3526,33.5,19.03,-0.3895,0.536,-25.89,-0.5395
EOD_BREAKOUT,G2_G5_TGT_FAST,PAIR,1.5,10523,3526,3526,33.5,19.03,-0.4151,0.52,-25.89,-0.5651
EOD_BREAKOUT,G2_G7_TGT_BULL,PAIR,0.0,10523,7018,7018,66.7,42.62,-0.0535,0.903,-2.3,-0.2035
EOD_BREAKOUT,G2_G7_TGT_BULL,PAIR,0.5,10523,7018,7018,66.7,42.62,0.0528,1.118,-2.3,-0.0972
EOD_BREAKOUT,G2_G7_TGT_BULL,PAIR,0.8,10523,7018,7018,66.7,42.62,0.0383,1.083,-2.3,-0.1117
EOD_BREAKOUT,G2_G7_TGT_BULL,PAIR,1.0,10523,7018,7018,66.7,42.62,0.0279,1.059,-2.3,-0.1221
EOD_BREAKOUT,G2_G7_TGT_BULL,PAIR,1.2,10523,7018,7018,66.7,42.62,0.0176,1.036,-2.3,-0.1324
EOD_BREAKOUT,G2_G7_TGT_BULL,PAIR,1.5,10523,7018,7018,66.7,42.62,0.0068,1.014,-2.3,-0.1432
EOD_BREAKOUT,G3_G7_PCTSTOP_BULL,PAIR,0.0,10523,2766,2766,26.3,43.38,-0.0269,0.956,-1.54,-0.1769
EOD_BREAKOUT,G3_G7_PCTSTOP_BULL,PAIR,0.5,10523,2766,2766,26.3,43.38,0.0959,1.198,-1.54,-0.0541
EOD_BREAKOUT,G3_G7_PCTSTOP_BULL,PAIR,0.8,10523,2766,2766,26.3,43.38,0.0786,1.156,-1.54,-0.0714
