symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
KRISHANA,DOUBLE_BOTTOM,2026-03-10,2026,OOS_2026,SIDEWAYS,84.0,99.79,94.58,107.6,5.22,0.97,1.46,0.03,LOSS,-1.0,3,-5.22,0.37,1.08,2026-03-12,94.58,STOP_LOSS
KRISHANA,MULTI_MONTH_BASE_BREAKOUT,2026-04-02,2026,OOS_2026,SIDEWAYS,97.0,107.76,104.23,113.06,3.28,0.91,4.39,0.09,WIN,1.5,1,4.92,1.85,0.0,2026-04-05,113.06,TARGET_1
KRISHANA,BULL_FLAG,2026-04-27,2026,OOS_2026,BULL,92.0,137.27,129.03,149.63,6.0,0.83,2.58,0.17,LOSS,-1.0,2,-6.0,0.42,2.13,2026-04-28,129.03,STOP_LOSS
KRISHANA,BULL_PENNANT,2026-05-21,2026,OOS_2026,BULL,88.0,140.4,131.97,153.04,6.0,0.95,1.62,0.05,LOSS,-1.0,2,-6.0,0.38,1.2,2026-05-24,131.97,STOP_LOSS
KRISHANA,MULTI_MONTH_BASE_BREAKOUT,2026-06-24,2026,OOS_2026,BULL,98.0,146.79,139.29,158.04,5.11,0.91,7.67,0.09,LOSS,-1.0,3,-5.11,0.39,1.97,2026-06-28,139.29,STOP_LOSS
KRISHANA,WYCKOFF_SPRING_TYPE_2,2026-07-22,2026,OOS_2026,BULL,92.0,143.65,135.03,156.58,6.0,0.76,1.97,0.24,WIN,1.5,1,9.0,1.6,0.02,2026-07-22,156.58,TARGET_1
KRISHANA,BULL_FLAG,2026-07-30,2026,OOS_2026,BULL,96.0,180.05,169.25,196.25,6.0,0.91,2.55,0.09,WIN,1.5,14,9.0,1.88,0.24,2026-08-18,196.25,TARGET_1
KRN,CUP_HANDLE,2026-02-18,2026,OOS_2026,SIDEWAYS,92.0,790.2,742.79,861.32,6.0,0.86,3.21,0.14,WIN,1.5,2,9.0,2.52,0.29,2026-02-19,861.32,TARGET_1
KRN,V_REVERSAL,2026-02-24,2026,OOS_2026,BULL,85.0,946.25,889.47,1031.42,6.0,0.78,3.88,0.22,WIN,1.5,2,9.0,1.51,0.11,2026-02-25,1031.42,TARGET_1
KRN,V_REVERSAL,2026-04-13,2026,OOS_2026,BULL,88.0,1050.05,987.05,1144.55,6.0,0.86,4.16,0.14,WIN,1.5,2,9.0,2.82,0.0,2026-04-15,1144.55,TARGET_1
KRN,SHAKEOUT_RECLAIM,2026-06-29,2026,OOS_2026,BULL,93.0,1250.5,1175.47,1363.05,6.0,1.0,1.55,0.0,LOSS,-0.08,20,-0.47,0.91,0.93,2026-07-26,1244.5999755859375,TIMEOUT_20D
KRN,HIGHER_LOW_REVERSAL,2026-07-15,2026,OOS_2026,BULL,93.0,1285.5,1208.37,1401.2,6.0,1.0,2.17,0.0,LOSS,-1.0,7,-6.0,0.43,1.11,2026-07-23,1208.37,STOP_LOSS
KSB,WYCKOFF_SPRING_TYPE_2,2026-01-07,2026,OOS_2026,BEAR,86.0,749.45,707.68,812.1,5.57,0.75,1.73,0.25,LOSS,-1.0,9,-5.57,0.51,1.22,2026-01-19,707.68,STOP_LOSS
KSB,V_REVERSAL,2026-06-05,2026,OOS_2026,BEAR,91.0,814.1,765.25,887.37,6.0,0.85,1.93,0.15,WIN,1.5,9,9.0,1.54,0.41,2026-06-17,887.37,TARGET_1
KWIL,WYCKOFF_SPRING_TYPE_2,2026-06-03,2026,OOS_2026,BULL,86.0,30.59,28.75,33.35,6.02,0.78,1.7,0.22,WIN,1.5,1,9.02,3.15,0.16,2026-06-03,33.35,TARGET_1
KWIL,BULL_FLAG,2026-06-12,2026,OOS_2026,BULL,90.0,36.9,34.69,40.22,5.99,0.79,1.7,0.21,LOSS,-1.0,9,-5.99,1.15,1.08,2026-06-24,34.69,STOP_LOSS
KRISHNADEF,V_REVERSAL,2024-12-09,2024,IS_2024,SIDEWAYS,91.0,718.18,675.09,782.81,6.0,1.0,3.51,0.0,WIN,1.5,6,9.0,1.65,0.9,2024-12-17,782.81,TARGET_1
KRISHNADEF,MULTI_MONTH_BASE_BREAKOUT,2024-12-16,2024,IS_2024,BULL,95.0,769.54,726.05,834.79,5.65,0.98,2.47,0.02,LOSS,-1.0,3,-5.65,0.6,1.15,2024-12-19,726.05,STOP_LOSS
KRISHNADEF,HIGHER_LOW_REVERSAL,2025-01-06,2025,VAL_2025,BULL,92.0,799.17,751.22,871.11,6.0,0.92,2.52,0.08,LOSS,-1.0,5,-6.0,0.63,1.51,2025-01-13,751.22,STOP_LOSS
KRISHNADEF,SHAKEOUT_RECLAIM,2025-03-07,2025,VAL_2025,SIDEWAYS,93.0,621.14,583.87,677.05,6.0,1.0,1.52,0.0,LOSS,-1.0,1,-6.0,0.36,1.25,2025-03-10,583.87,STOP_LOSS
KRISHNADEF,HIGHER_LOW_REVERSAL,2025-04-03,2025,VAL_2025,BULL,92.0,768.3,722.2,837.44,6.0,0.87,2.56,0.13,LOSS,-1.0,1,-6.0,0.0,1.27,2025-04-04,722.2,STOP_LOSS
KRISHNADEF,SHAKEOUT_RECLAIM,2025-05-13,2025,VAL_2025,BULL,85.0,848.69,797.77,925.08,6.0,0.8,1.54,0.2,WIN,1.5,1,9.0,2.0,0.0,2025-05-14,925.08,TARGET_1
KRISHNADEF,V_REVERSAL,2025-06-05,2025,VAL_2025,BULL,94.0,942.13,885.6,1026.93,6.0,0.89,2.26,0.11,LOSS,-1.0,6,-6.0,1.5,1.18,2025-06-13,885.6,STOP_LOSS
KRISHNADEF,SHAKEOUT_RECLAIM,2025-09-12,2025,VAL_2025,SIDEWAYS,94.0,820.1,770.89,893.91,6.0,0.84,3.02,0.16,LOSS,-1.0,12,-6.0,0.86,1.02,2025-09-30,770.89,STOP_LOSS
KRISHNADEF,DOUBLE_BOTTOM,2026-01-05,2026,OOS_2026,BULL,89.0,862.6,820.8,925.3,4.85,0.76,3.87,0.24,WIN,1.5,1,7.27,2.21,0.3,2026-01-06,925.3,TARGET_1
KRISHNADEF,V_REVERSAL,2026-02-18,2026,OOS_2026,BULL,86.0,1129.6,1061.82,1231.27,6.0,0.85,1.77,0.15,LOSS,-1.0,3,-6.0,1.04,1.47,2026-02-23,1061.82,STOP_LOSS
KRISHNADEF,V_REVERSAL,2026-03-02,2026,OOS_2026,BULL,85.0,1126.1,1058.53,1227.45,6.0,0.75,2.39,0.25,WIN,1.5,3,9.0,1.69,0.75,2026-03-06,1227.45,TARGET_1
KRISHNADEF,CUP_HANDLE,2026-05-07,2026,OOS_2026,BULL,95.0,1146.6,1077.8,1249.8,6.0,0.87,2.63,0.13,WIN,1.5,2,9.0,2.42,0.0,2026-05-11,1249.8,TARGET_1
LALPATHLAB,WYCKOFF_SPRING_TYPE_2,2025-11-03,2025,VAL_2025,SIDEWAYS,89.0,1615.84,1518.89,1761.27,6.0,0.75,2.43,0.25,LOSS,-1.0,3,-6.0,0.0,1.05,2025-11-06,1518.89,STOP_LOSS
LALPATHLAB,V_REVERSAL,2025-12-30,2025,VAL_2025,SIDEWAYS,83.0,1450.87,1363.82,1581.44,6.0,0.88,1.36,0.12,LOSS,-1.0,10,-6.0,0.71,1.07,2026-01-12,1363.82,STOP_LOSS
LALPATHLAB,SHAKEOUT_RECLAIM,2026-01-13,2026,OOS_2026,BEAR,89.0,1414.05,1334.7,1533.07,5.61,0.88,1.69,0.12,WIN,0.33,20,1.86,0.71,0.95,2026-02-10,1440.321044921875,TIMEOUT_20D
LALPATHLAB,CUP_HANDLE,2026-07-24,2026,OOS_2026,BULL,90.0,1754.53,1656.34,1901.81,5.6,0.77,3.92,0.23,WIN,1.5,4,8.39,1.68,0.0,2026-07-29,1901.81,TARGET_1
LANDMARK,SHAKEOUT_RECLAIM,2026-03-13,2026,OOS_2026,BEAR,94.0,362.55,340.8,395.17,6.0,0.8,2.1,0.2,WIN,1.5,11,9.0,2.64,0.7,2026-03-31,395.17,TARGET_1
LANDMARK,CUP_HANDLE,2026-07-02,2026,OOS_2026,BULL,88.0,436.45,418.99,462.64,4.0,0.84,1.94,0.16,LOSS,-1.0,4,-4.0,1.38,1.22,2026-07-07,418.99,STOP_LOSS
LANDMARK,DOUBLE_BOTTOM,2026-07-14,2026,OOS_2026,BULL,94.0,496.4,466.62,541.07,6.0,0.88,15.42,0.12,WIN,1.5,1,9.0,2.37,0.0,2026-07-14,541.07,TARGET_1
LATENTVIEW,MULTI_MONTH_BASE_BREAKOUT,2025-10-31,2025,VAL_2025,BULL,96.0,448.35,430.68,474.86,3.94,0.89,4.9,0.11,WIN,1.5,1,5.91,1.62,0.0,2025-11-02,474.86,TARGET_1
LATENTVIEW,MULTI_MONTH_BASE_BREAKOUT,2025-11-11,2025,VAL_2025,BULL,94.0,485.45,466.38,514.06,3.93,0.77,4.56,0.23,LOSS,-1.0,5,-3.93,0.76,1.07,2025-11-17,466.38,STOP_LOSS
LATENTVIEW,WYCKOFF_SPRING_TYPE_2,2025-11-19,2025,VAL_2025,BULL,90.0,494.25,464.59,538.74,6.0,0.78,4.09,0.22,LOSS,-1.0,10,-6.0,0.67,1.29,2025-12-02,464.59,STOP_LOSS
LATENTVIEW,V_REVERSAL,2026-02-02,2026,OOS_2026,SIDEWAYS,88.0,457.2,429.77,498.35,6.0,0.77,15.96,0.23,LOSS,-1.0,3,-6.0,1.0,1.14,2026-02-04,429.77,STOP_LOSS
LATENTVIEW,SHAKEOUT_RECLAIM,2026-04-02,2026,OOS_2026,SIDEWAYS,97.0,312.1,293.37,340.2,6.0,0.98,15.89,0.02,LOSS,-1.0,2,-6.0,0.46,1.23,2026-04-06,293.37,STOP_LOSS
LATENTVIEW,SHAKEOUT_RECLAIM,2026-07-02,2026,OOS_2026,BEAR,92.0,278.95,262.21,304.06,6.0,0.84,3.6,0.16,WIN,1.5,3,9.0,1.62,0.1,2026-07-06,304.06,TARGET_1
KSCL,MULTI_MONTH_BASE_BREAKOUT,2025-10-01,2025,VAL_2025,BULL,96.0,1476.93,1421.21,1560.5,3.77,1.0,1.56,0.0,WIN,1.5,7,5.66,1.85,0.05,2025-10-10,1560.5,TARGET_1
KSCL,MULTI_MONTH_BASE_BREAKOUT,2025-11-03,2025,VAL_2025,BULL,94.0,1602.75,1545.41,1688.76,3.58,0.9,1.65,0.1,WIN,1.5,9,5.37,1.61,0.12,2025-11-14,1688.76,TARGET_1
KSCL,DOUBLE_BOTTOM,2026-03-06,2026,OOS_2026,SIDEWAYS,93.0,1462.46,1403.48,1550.92,4.03,0.9,1.57,0.1,LOSS,-1.0,9,-4.03,0.14,1.01,2026-03-19,1403.48,STOP_LOSS
KSCL,DOUBLE_BOTTOM,2026-03-25,2026,OOS_2026,BULL,83.0,1477.42,1413.78,1572.89,4.31,0.75,1.35,0.25,WIN,0.13,20,0.55,0.93,0.5,2026-04-22,1485.5684656292042,TIMEOUT_20D
KSCL,HIGHER_LOW_REVERSAL,2026-04-29,2026,OOS_2026,BULL,87.0,1541.02,1468.63,1649.59,4.7,0.77,1.42,0.23,LOSS,-0.1,20,-0.47,0.51,0.77,2026-05-27,1533.8170903931868,TIMEOUT_20D
KSCL,CUP_HANDLE,2026-05-07,2026,OOS_2026,BULL,90.0,1519.03,1500.8,1546.37,1.2,0.85,1.63,0.15,LOSS,-1.0,2,-1.2,0.01,1.08,2026-05-11,1500.8,STOP_LOSS
KSCL,CUP_HANDLE,2026-06-15,2026,OOS_2026,BULL,93.0,1546.05,1522.37,1581.58,1.53,0.92,1.53,0.08,LOSS,-1.0,1,-1.53,0.0,1.29,2026-06-16,1522.37,STOP_LOSS
LAURUSLABS,SHAKEOUT_RECLAIM,2025-11-26,2025,VAL_2025,BULL,85.0,985.62,949.98,1039.08,3.62,0.82,1.74,0.18,WIN,1.5,3,5.42,1.5,0.15,2025-11-30,1039.08,TARGET_1
LAURUSLABS,MULTI_MONTH_BASE_BREAKOUT,2025-12-19,2025,VAL_2025,BULL,94.0,1044.16,1007.99,1098.42,3.46,0.87,1.92,0.13,WIN,1.5,7,5.2,2.04,0.0,2025-12-30,1098.42,TARGET_1
LAURUSLABS,WYCKOFF_SPRING_TYPE_2,2026-04-02,2026,OOS_2026,BULL,90.0,1041.86,979.35,1135.63,6.0,0.88,1.5,0.12,WIN,1.5,9,9.0,1.59,0.46,2026-04-16,1135.63,TARGET_1
LAURUSLABS,MULTI_MONTH_BASE_BREAKOUT,2026-05-04,2026,OOS_2026,BULL,97.0,1165.24,1109.4,1249.0,4.79,0.93,2.79,0.07,WIN,1.5,5,7.19,2.01,0.16,2026-05-10,1249.0,TARGET_1
LAURUSLABS,V_REVERSAL,2026-05-11,2026,OOS_2026,BULL,81.0,1266.8,1190.79,1380.82,6.0,0.81,1.43,0.19,WIN,1.5,12,9.0,1.64,0.27,2026-05-26,1380.82,TARGET_1
LAURUSLABS,MULTI_MONTH_BASE_BREAKOUT,2026-07-27,2026,OOS_2026,BULL,91.0,1713.4,1610.6,1867.6,6.0,0.82,3.6,0.18,WIN,1.5,10,9.0,1.53,0.06,2026-08-09,1867.6,TARGET_1
KTKBANK,DOUBLE_BOTTOM,2025-09-15,2025,VAL_2025,BULL,89.0,1816.06,1731.67,1942.64,4.65,0.92,1.57,0.08,WIN,0.83,20,3.84,0.97,0.54,2025-10-13,1885.7360413145086,TIMEOUT_20D
KTKBANK,CUP_HANDLE,2025-10-03,2025,VAL_2025,BULL,88.0,1834.2,1794.65,1893.52,2.16,0.84,1.88,0.16,WIN,1.5,6,3.23,1.6,0.49,2025-10-13,1893.52,TARGET_1
KTKBANK,MULTI_MONTH_BASE_BREAKOUT,2025-10-14,2025,VAL_2025,BULL,99.0,1899.89,1840.61,1988.81,3.12,0.85,2.01,0.15,WIN,1.5,18,4.68,1.88,0.6,2025-11-07,1988.81,TARGET_1
KTKBANK,CUP_HANDLE,2025-10-24,2025,VAL_2025,BULL,83.0,1921.77,1864.51,2007.66,2.98,0.99,1.46,0.01,WIN,1.5,10,4.47,1.56,0.37,2025-11-07,2007.66,TARGET_1
KTKBANK,V_REVERSAL,2026-05-12,2026,OOS_2026,SIDEWAYS,85.0,1927.86,1844.61,2052.74,4.32,0.84,1.59,0.16,LOSS,-1.0,5,-4.32,0.0,1.09,2026-05-19,1844.61,STOP_LOSS
KTKBANK,DOUBLE_BOTTOM,2026-08-19,2026,OOS_2026,SIDEWAYS,90.0,2059.75,1936.17,2245.13,6.0,0.91,1.78,0.09,LOSS,-1.0,1,-6.0,0.0,14.07,2026-08-19,1936.17,STOP_LOSS
LICHSGFIN,SHAKEOUT_RECLAIM,2025-12-02,2025,VAL_2025,BEAR,88.0,554.65,541.08,575.01,2.45,0.78,2.44,0.22,LOSS,-1.0,3,-2.45,0.02,1.15,2025-12-04,541.08,STOP_LOSS
LICHSGFIN,V_REVERSAL,2026-01-14,2026,OOS_2026,SIDEWAYS,88.0,535.25,509.84,573.37,4.75,0.86,2.91,0.14,LOSS,-1.0,5,-4.75,0.23,1.22,2026-01-20,509.84,STOP_LOSS
LICHSGFIN,BULL_FLAG,2026-04-21,2026,OOS_2026,BULL,93.0,565.15,531.24,616.02,6.0,0.95,2.58,0.05,LOSS,-0.65,20,-3.92,0.97,0.94,2026-05-18,543.0,TIMEOUT_20D
LICHSGFIN,DOUBLE_BOTTOM,2026-04-29,2026,OOS_2026,BULL,78.0,562.15,529.34,611.37,5.84,0.75,1.46,0.25,LOSS,-0.17,20,-1.01,1.1,0.87,2026-05-26,556.4500122070312,TIMEOUT_20D
LICHSGFIN,MULTI_MONTH_BASE_BREAKOUT,2026-05-06,2026,OOS_2026,BULL,97.0,582.15,551.49,628.14,5.27,0.89,2.67,0.11,LOSS,-1.0,6,-5.27,0.52,1.15,2026-05-13,551.49,STOP_LOSS
LICHSGFIN,ASCENDING_TRIANGLE,2026-05-13,2026,OOS_2026,BULL,89.0,585.65,550.51,638.36,6.0,0.9,1.79,0.1,LOSS,-1.0,1,-6.0,0.0,1.11,2026-05-13,550.51,STOP_LOSS
LICHSGFIN,WYCKOFF_SPRING_TYPE_2,2026-06-12,2026,OOS_2026,SIDEWAYS,94.0,559.5,525.93,609.86,6.0,0.91,1.92,0.09,LOSS,-0.31,20,-1.85,0.34,0.94,2026-07-09,549.1500244140625,TIMEOUT_20D
LICHSGFIN,BULL_PENNANT,2026-06-29,2026,OOS_2026,SIDEWAYS,91.0,560.75,535.81,598.16,4.45,0.9,3.59,0.1,LOSS,-1.0,7,-4.45,0.31,1.31,2026-07-07,535.81,STOP_LOSS
