symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_pattern_type,gate_clv_floor,gate_rvol_floor,gate_upper_wick,gate_risk_pct,naive_baseline_fired,data_source_flags
ACE,2025-12-15 15:30:00 IST,SIDEWAYS,2025-12-15 09:15:00 IST,995.9,936.15,1085.53,1115.4,1145.28,1175.15,2025-12-17 15:30:00 IST,936.15,STOP_LOSS,-1.0,3,92.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ACE,2026-05-08 15:30:00 IST,BULL,2026-05-08 09:15:00 IST,947.25,890.41,1032.51,1060.93,1089.35,1117.77,2026-05-11 15:30:00 IST,890.41,STOP_LOSS,-1.0,2,89.0,CUP_HANDLE,True,True,True,6.0,True,NONE
ACE,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,900.3,846.28,981.33,1008.34,1035.35,1062.36,2026-06-18 15:30:00 IST,981.33,TARGET_1,1.5,10,83.0,CUP_HANDLE,True,True,True,6.0,True,NONE
ACE,2026-06-17 15:30:00 IST,BULL,2026-06-17 09:15:00 IST,962.1,909.02,1041.72,1068.26,1094.8,1121.34,2026-06-22 15:30:00 IST,1041.72,TARGET_1,1.5,4,92.0,DOUBLE_BOTTOM,True,True,True,5.52,True,NONE
ACE,2026-07-24 15:30:00 IST,BULL,2026-07-24 09:15:00 IST,1039.4,977.04,1132.94,1164.12,1195.3,1226.48,2026-08-04 15:30:00 IST,1132.94,TARGET_1,1.5,8,95.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ACE,2026-08-18 15:30:00 IST,BULL,2026-08-18 09:15:00 IST,1184.8,1113.71,1291.44,1326.98,1362.52,1398.07,2026-08-30 15:30:00 IST,1113.71,STOP_LOSS,-1.0,9,94.0,BULL_FLAG,True,True,True,6.0,True,NONE
ABREL,2025-08-01 15:30:00 IST,BULL,2025-08-01 09:15:00 IST,854.19,808.74,922.36,945.09,967.82,990.54,2025-08-18 15:30:00 IST,808.74,STOP_LOSS,-1.0,11,85.0,WYCKOFF_SPRING_TYPE_2,True,True,True,5.32,True,NONE
ABREL,2025-11-14 15:30:00 IST,SIDEWAYS,2025-11-14 09:15:00 IST,712.52,679.31,762.34,778.94,795.55,812.15,2025-12-12 15:30:00 IST,710.9,TIMEOUT_20D,-0.05,20,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.66,True,NONE
ABREL,2025-11-24 15:30:00 IST,SIDEWAYS,2025-11-24 09:15:00 IST,713.7,688.53,751.45,764.04,776.63,789.21,2025-12-22 15:30:00 IST,715.4,TIMEOUT_20D,0.07,20,88.0,V_REVERSAL,True,True,True,3.53,True,NONE
ABREL,2026-02-17 15:30:00 IST,BEAR,2026-02-17 09:15:00 IST,667.28,629.62,723.77,742.6,761.43,780.26,2026-03-17 15:30:00 IST,698.73,TIMEOUT_20D,0.84,20,87.0,V_REVERSAL,True,True,True,5.64,True,NONE
ABREL,2026-02-25 15:30:00 IST,SIDEWAYS,2026-02-25 09:15:00 IST,692.22,650.69,754.53,775.28,796.04,816.81,2026-03-25 15:30:00 IST,702.19,TIMEOUT_20D,0.24,20,87.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
