symbol,count,mean_R,win_rate
KIRLPNU,13,0.8462,0.462
KODYTECH,13,-0.3846,0.154
UNIPARTS,13,0.2308,0.308
SRM,13,0.2308,0.308
MAPMYINDIA,13,-0.0769,0.231
CUPID,13,0.5385,0.385
ROSSARI,13,-0.2941,0.231
YATHARTH,13,0.8462,0.462
AETHER,13,0.2308,0.308
VENUSPIPES,13,1.3716,0.615
LICI,13,0.6063,0.385
ABSLAMC,13,0.8181,0.538
CONCORDBIO,13,0.2308,0.308
ROSSTECH,13,0.2308,0.308
AIIL,12,0.0465,0.25
BIKAJI,12,0.0297,0.25
BLUEJET,12,0.6667,0.417
ASKAUTOLTD,12,-0.226,0.25
CMSINFO,12,0.2998,0.417
NYKAA,12,0.6467,0.5
HAPPSTMNDS,12,-0.6667,0.083
HLEGLAS,12,-0.3333,0.167
ZAGGLE,11,0.0909,0.273
HAPPYFORGE,11,0.0909,0.273
DPEL,11,1.1818,0.545
RELTD,11,0.0909,0.273
AGIIL,11,0.4545,0.364
STYLEBAAZA,11,-0.2727,0.182
ALPEXSOLAR,11,-0.2727,0.182
RPTECH,11,0.4545,0.364
SAMHI,10,-0.4317,0.2
ACCENTMIC,10,0.5156,0.4
GANDHAR,10,-0.6,0.1
DEEDEV,10,0.6,0.4
DOLPHIN,10,-1.0,0.0
RRKABEL,10,0.0501,0.3
INTERARCH,10,-0.6,0.1
RACLGEAR,10,0.7808,0.5
AFSL,10,0.454,0.4
FIVESTAR,10,-0.3361,0.2
JGCHEM,10,-0.2,0.2
GRINFRA,10,-0.3211,0.2
GARUDA,10,-0.2,0.2
KMEW,10,0.6,0.4
INDIASHLTR,9,-0.3085,0.222
CAMPUS,9,-0.5556,0.111
MANYAVAR,9,-0.4258,0.111
CLEAN,9,-0.8174,0.111
AZAD,9,0.0618,0.222
REDTAPE,9,-0.1111,0.222
MANKIND,9,-0.3334,0.222
SIGNPOST,9,-0.5556,0.111
FEDFINA,9,0.535,0.444
KROSS,9,-0.5556,0.111
BLSE,8,0.0,0.25
AMNPLST,8,-0.5,0.125
ABDL,8,1.0,0.5
JSWINFRA,8,-0.8661,0.125
FLAIR,8,-0.1587,0.25
SUNCLAY,8,0.0,0.25
OBSCP,7,0.4095,0.429
RPEL,7,0.1429,0.286
GOCOLORS,7,-0.5061,0.143
NIITMTS,7,-0.6316,0.143
VINYAS,7,-0.4286,0.143
DOMS,7,-0.4286,0.143
BALUFORGE,7,-1.0,0.0
CARRARO,6,-0.0487,0.333
BHARATSE,6,0.3333,0.333
KRN,6,-0.3333,0.167
WAAREEENER,6,-0.3333,0.167
KALAMANDIR,6,-0.3333,0.167
JLHL,6,-0.5404,0.167
INOXINDIA,6,1.0966,0.667
QPOWER,6,0.3333,0.333
NORTHARC,6,-0.1972,0.167
BHARTIHEXA,6,0.3333,0.333
EMSLIMITED,5,0.1873,0.4
IREDA,5,-1.0,0.0
AWL,5,-1.0,0.0
SIGNATURE,5,-1.0,0.0
JYOTICNC,5,-0.2,0.2
ACMESOLAR,5,-0.2,0.2
MOSCHIP,5,-0.2,0.2
TBOTEK,5,-0.8858,0.0
HONASA,5,0.6,0.4
HYUNDAI,5,-0.2,0.2
MEDIASSIST,5,-1.0,0.0
GPTHEALTH,4,-0.3486,0.25
AVL,4,0.0,0.25
GOPAL,4,-1.0,0.0
AADHARHFC,4,-0.0512,0.25
VINCOFE,4,0.0,0.25
