scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_20d_high,gate_vol_surge,gate_rsi_corridor,gate_candle_struct,gate_atr_tightness,gate_52w_prox,naive_baseline_fired,data_source_flags
EOD,GANESHHOU,2022-03-22 15:30:00 IST,BULL,2022-03-22 09:15:00 IST,259.25,236.61,293.21,304.53,315.85,327.17,2022-04-05 15:30:00 IST,287.8,TIME_EXPIRY,1.2611,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GANESHHOU,2022-12-12 15:30:00 IST,BULL,2022-12-12 09:15:00 IST,354.95,341.74,374.77,381.37,387.98,394.58,2022-12-15 15:30:00 IST,341.74,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GANESHHOU,2024-02-26 15:30:00 IST,BULL,2024-02-26 09:15:00 IST,837.15,765.72,944.29,980.0,1015.72,1051.43,2024-03-07 15:30:00 IST,765.72,STOP_LOSS,-1.0,8,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GARFIBRES,2017-09-01 15:30:00 IST,BULL,2017-09-01 09:15:00 IST,184.2,175.22,197.67,202.15,206.64,211.13,2017-09-15 15:30:00 IST,175.22,STOP_LOSS,-1.0,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GARFIBRES,2023-02-07 15:30:00 IST,BULL,2023-02-07 09:15:00 IST,621.95,599.38,655.81,667.09,678.38,689.66,2023-02-10 15:30:00 IST,599.38,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GARFIBRES,2024-11-18 15:30:00 IST,BULL,2024-11-18 09:15:00 IST,938.05,868.96,1041.68,1076.22,1110.77,1145.31,2024-11-19 15:30:00 IST,868.96,STOP_LOSS,-1.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GARFIBRES,2024-12-03 15:30:00 IST,BULL,2024-12-03 09:15:00 IST,974.75,904.84,1079.62,1114.57,1149.53,1184.48,2024-12-13 15:30:00 IST,904.84,STOP_LOSS,-1.0,8,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GENUSPOWER,2024-04-10 15:30:00 IST,BULL,2024-04-10 09:15:00 IST,268.6,250.67,295.5,304.47,313.43,322.4,2024-04-17 15:30:00 IST,304.47,TARGET,2.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GENUSPOWER,2026-08-20 15:30:00 IST,BULL,2026-08-20 09:15:00 IST,334.25,318.82,357.4,365.11,372.83,380.54,2026-09-03 15:30:00 IST,339.7,TIME_EXPIRY,0.3532,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GESHIP,2017-09-08 15:30:00 IST,BULL,2017-09-08 09:15:00 IST,420.8,401.75,449.38,458.91,468.43,477.96,2017-09-15 15:30:00 IST,401.75,STOP_LOSS,-1.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
